ID,ESTACION,FECHA,HORA,LONGITUD,LATITUD,ALTITUD,PM10,PM2_5,NO2,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE
165141,SANTA_ANITA,20150103,130000,-76.9714,-12.043,253,72.99,19.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165142,SANTA_ANITA,20150103,140000,-76.9714,-12.043,253,98.45,18.7,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165143,SANTA_ANITA,20150103,150000,-76.9714,-12.043,253,100.31,25.7,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165144,SANTA_ANITA,20150103,160000,-76.9714,-12.043,253,104.72,25.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165145,SANTA_ANITA,20150103,170000,-76.9714,-12.043,253,80.63,21.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165146,SANTA_ANITA,20150103,180000,-76.9714,-12.043,253,76.29,17.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165147,SANTA_ANITA,20150103,190000,-76.9714,-12.043,253,74.63,14,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165148,SANTA_ANITA,20150103,200000,-76.9714,-12.043,253,87.23,8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165149,SANTA_ANITA,20150103,210000,-76.9714,-12.043,253,85.59,9.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165150,SANTA_ANITA,20150103,220000,-76.9714,-12.043,253,60.1,9.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165151,SANTA_ANITA,20150103,230000,-76.9714,-12.043,253,79.25,13.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165152,SANTA_ANITA,20150104,0,-76.9714,-12.043,253,79.59,12.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165153,SANTA_ANITA,20150104,10000,-76.9714,-12.043,253,77.7,16.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165154,SANTA_ANITA,20150104,20000,-76.9714,-12.043,253,68.78,12.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165155,SANTA_ANITA,20150104,30000,-76.9714,-12.043,253,78.89,11.4,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165156,SANTA_ANITA,20150104,40000,-76.9714,-12.043,253,81.82,19.1,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165157,SANTA_ANITA,20150104,50000,-76.9714,-12.043,253,73.77,17.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165158,SANTA_ANITA,20150104,60000,-76.9714,-12.043,253,77.88,21.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165159,SANTA_ANITA,20150104,70000,-76.9714,-12.043,253,83.07,22.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165160,SANTA_ANITA,20150104,80000,-76.9714,-12.043,253,81.36,27.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165161,SANTA_ANITA,20150104,90000,-76.9714,-12.043,253,83.31,24.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165162,SANTA_ANITA,20150104,100000,-76.9714,-12.043,253,59.05,24.1,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165163,SANTA_ANITA,20150104,110000,-76.9714,-12.043,253,56.55,22.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165164,SANTA_ANITA,20150104,120000,-76.9714,-12.043,253,67,33.1,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165165,SANTA_ANITA,20150104,130000,-76.9714,-12.043,253,95.89,28.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165166,SANTA_ANITA,20150104,140000,-76.9714,-12.043,253,94.22,31.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165167,SANTA_ANITA,20150104,150000,-76.9714,-12.043,253,90.36,30.1,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165168,SANTA_ANITA,20150104,160000,-76.9714,-12.043,253,62.74,27,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165169,SANTA_ANITA,20150104,170000,-76.9714,-12.043,253,56.51,17.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165170,SANTA_ANITA,20150104,180000,-76.9714,-12.043,253,57.7,12.7,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165171,SANTA_ANITA,20150104,190000,-76.9714,-12.043,253,61.27,11,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165172,SANTA_ANITA,20150104,200000,-76.9714,-12.043,253,60.19,7.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165173,SANTA_ANITA,20150104,210000,-76.9714,-12.043,253,47.43,14,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165174,SANTA_ANITA,20150104,220000,-76.9714,-12.043,253,46.92,11.5,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165175,SANTA_ANITA,20150104,230000,-76.9714,-12.043,253,52.02,14,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165176,SANTA_ANITA,20150105,0,-76.9714,-12.043,253,59.98,12.5,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165177,SANTA_ANITA,20150105,10000,-76.9714,-12.043,253,47.73,14.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165178,SANTA_ANITA,20150105,20000,-76.9714,-12.043,253,44.23,12.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165179,SANTA_ANITA,20150105,30000,-76.9714,-12.043,253,72.35,13.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165180,SANTA_ANITA,20150105,40000,-76.9714,-12.043,253,76.64,16.1,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165181,SANTA_ANITA,20150105,50000,-76.9714,-12.043,253,66.29,16.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165182,SANTA_ANITA,20150105,60000,-76.9714,-12.043,253,56.97,19.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165183,SANTA_ANITA,20150105,70000,-76.9714,-12.043,253,62.54,19.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165184,SANTA_ANITA,20150105,80000,-76.9714,-12.043,253,51.86,18.7,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165185,SANTA_ANITA,20150105,90000,-76.9714,-12.043,253,49.84,14.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165186,SANTA_ANITA,20150105,100000,-76.9714,-12.043,253,61.25,20.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165187,SANTA_ANITA,20150105,110000,-76.9714,-12.043,253,49.94,18.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165188,SANTA_ANITA,20150105,120000,-76.9714,-12.043,253,59.55,10.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165189,SANTA_ANITA,20150105,130000,-76.9714,-12.043,253,96.82,25.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165190,SANTA_ANITA,20150105,140000,-76.9714,-12.043,253,107.73,32.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165191,SANTA_ANITA,20150105,150000,-76.9714,-12.043,253,108.86,28.7,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165192,SANTA_ANITA,20150105,160000,-76.9714,-12.043,253,96.21,14.7,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165193,SANTA_ANITA,20150105,170000,-76.9714,-12.043,253,76.26,11,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165194,SANTA_ANITA,20150105,180000,-76.9714,-12.043,253,68.29,21.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165195,SANTA_ANITA,20150105,190000,-76.9714,-12.043,253,51.26,17.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165196,SANTA_ANITA,20150105,200000,-76.9714,-12.043,253,53.05,14.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165197,SANTA_ANITA,20150105,210000,-76.9714,-12.043,253,56.61,14.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165198,SANTA_ANITA,20150105,220000,-76.9714,-12.043,253,62.78,14.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165199,SANTA_ANITA,20150105,230000,-76.9714,-12.043,253,64.96,17.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165200,SANTA_ANITA,20150106,0,-76.9714,-12.043,253,75.56,19.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165201,SANTA_ANITA,20150106,10000,-76.9714,-12.043,253,101.02,21.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165202,SANTA_ANITA,20150106,20000,-76.9714,-12.043,253,102.17,28.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165203,SANTA_ANITA,20150106,30000,-76.9714,-12.043,253,89.34,25.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165204,SANTA_ANITA,20150106,40000,-76.9714,-12.043,253,78.81,27.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165205,SANTA_ANITA,20150106,50000,-76.9714,-12.043,253,63.27,14.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165206,SANTA_ANITA,20150106,60000,-76.9714,-12.043,253,67.01,15.5,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165207,SANTA_ANITA,20150106,70000,-76.9714,-12.043,253,68.78,16.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165208,SANTA_ANITA,20150106,80000,-76.9714,-12.043,253,68.12,15.7,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165209,SANTA_ANITA,20150106,90000,-76.9714,-12.043,253,71.68,18.9,,LIMA,LIMA,SANTA_ANITA,150137,20240531
